phrase  length  count
cypress   1 8737
of god  2 8677
harbor  1 8625
trace   1 8621
ferry   1 8579
canyon road   2 8553
to  1 8516
falls   1 8509
road north  2 8508
el  1 8467
pass  1 8457
pharmacy  1 8455
dental  1 8439
west street   2 8433
elizabeth   1 8405
sycamore  1 8399
bear  1 8385
industrial  1 8372
fairview  1 8341
grove road  2 8330
zion  1 8303
magnolia  1 8270
gas   1 8241
junior  1 8234
haven   1 8227
beech   1 8225
health  1 8208
m   1 8195
h   1 8175
prairie   1 8159
scott   1 8124
national route  2 8117
road east   2 8084
hamilton  1 8078
henry   1 8068
dogwood   1 8062
park street   2 8052
hillside  1 8051
road west   2 8002
subway  1 7974
locust  1 7944
pacific   1 7938
olive   1 7916
sandy   1 7907
trinity   1 7890
prospect  1 7862
front   1 7845
car park  2 7816
palm  1 7812
quail   1 7785
hillcrest   1 7775
hidden  1 7753
evergreen   1 7719
road northwest  2 7629
farm-to-market  1 7618
back  1 7612
allen   1 7592
lutheran church   2 7557
lodge   1 7513
paul  1 7501
farm-to-market road   2 7483
coffee  1 7446
us  1 7427
memorial highway  2 7422
day   1 7419
valley drive  2 7408
anderson  1 7398
view road   2 7394
lewis   1 7384
motorway  1 7380
bay road  2 7350
fort  1 7338
spur  1 7336
lawrence  1 7323
harrison  1 7308
east street   2 7301
forest service  2 7297
of christ   2 7286
t   1 7271
ford  1 7252
presbyterian  1 7229
se  1 7218
fire station  2 7215
twin  1 7197
beach road  2 7195
walker  1 7141
thompson  1 7113
short   1 7107
shell   1 7097
road south  2 7073
douglas   1 7056
ct  1 7045
pond road   2 7042
columbia  1 6989
windsor   1 6958
southern  1 6943
row   1 6937
cottage   1 6924
railway   1 6904
l   1 6863
east avenue   2 6858
g   1 6803
church of christ  3 6792
timber  1 6784
rocky   1 6780
london  1 6778
access road   2 6760
drive southeast   2 6752
road southeast  2 6751
center street   2 6725
drive northwest   2 6722
al  1 6711
estates   1 6709
howard  1 6707
broad   1 6704
monroe  1 6681
north main  2 6659
presbyterian church   2 6657
saints  1 6652
virginia  1 6650
hill lane   2 6641
heritage  1 6608
warren  1 6607
side  1 6602
bethel  1 6581
